episode,character,line
Sock Opera,Bill,"(Eye becomes a clock)Tick tock, kid.(Reaches for him and hand lights on fire)"
Sock Opera,Dipper,"Uh, just one puppet? Fine!(shakes hand)So what puppet are you gonna pick, anyway?"
Sock Opera,Bill,"Hmm, let's see. Eenie meenie mynie...(voice gets low and echoes:)YOU."
Sock Opera,Dipper,What?!(Bill removes Dipper's soul from his body)What?(floating transparently. Puts his hand through his stomach) This can't be happening! What did you do to my body?!
Sock Opera,Bill,"(In Dipper's body, gets up)Sorry, kid but you'remypuppet, now!(laughs evilly as he throws computer onto floor and steps on it, destroying it)"
Sock Opera,Dipper,"Oh my gosh, this can't be happening. This can't be happening!"
Sock Opera,Bill,"(stumbles around, cackling. He stops in front of a mirror while a horrified Dipper watches.)Man, it has been so long since I've inhabited a body.(slaps himself in the face)Woo!(slaps the other cheek)Woo! Haha! Pain is hilarious!! And two eyes? This thing's deluxe!(Examines his eyes and pulls down his lip to look inside his mouth.)"
Sock Opera,Dipper,I don't understand! Why are you doing this?! I thought we had a deal!
Sock Opera,Bill,"Look kid, you've been getting way too close to figuring out some major answers. I've gotbig planscomin' and I don't need you gettin' in my way. Destroying that laptop was a cinch. Now I just need to destroy yourjournal. Race ya to the bottom of the stairs!(Tips backward and tumbles down the stairs.)"
Sock Opera,Dipper,(gasps. He zooms down through the floor and lands in the living room. He steadies himself and flies through the wall into the hall.)Hey!
Sock Opera,Bill,"(In the kitchen, taking a can of Pitt cola from the fridge.)Human soda! I'm gonna drink it like a person!(He pours it into his mouth and over his face, laughing.)Where do you keep that journal anyway?(Opens a drawer and reaches in. He slams the drawer on his arm repeatedly.)It's gotta be around here somewhere.(Continues slamming drawer, occasionally wincing)Boy, these arms are durable."
Sock Opera,Dipper,"I've hidden it!(Bill strokes his chin thoughtfully, forks stuck in his arm.)Somewhere you'll never find it in a million years!"
Sock Opera,Mabel,"Hey Dipper!(From the doorway)I borrowed your journal to use as a prop in the show. I hope you don't mind. I'm gonna go before you process this sentence, okay, BYEE!!(runs off)"
Sock Opera,Bill,"(He looks at Dipper, then grins)Sure, sounds great, sister! I'll see you at the show!"
Sock Opera,Dipper,"Wait! No, Mabel, don't listen to him! That's not me!(He flies after Mabel. Mabel gets in Grunkle Stan's car.)You've gotta hear me!(He flies in front of the car.)No, no! Wait! Stop!(The car drives through him.)"
Sock Opera,Bill,"Heh! Welcome to the mindscape, kid! Without a vessel to possess, you're basically a ghost!"
Sock Opera,Soos Ramirez,"Oh, hey Dipper! There you are!"
Sock Opera,Wendy,"What up, dude?"
Sock Opera,Dipper,Soos! Wendy! Help me!(He waves his arms and flies through Soos.)
Sock Opera,Soos,(to Bill:)We're heading to the theater.
Sock Opera,Wendy,"Need a ride, Dipper?"
Sock Opera,Bill,"Oho, anything for you, Red!(He gets in the car)"
Sock Opera,Dipper,"I'm gonna stop you, Bill! I'm gonna find that journal before you do and I'm gonna stop you!!"
Sock Opera,Bill,"But how can you stop me,(slowly turns to Dipper)if you don't exist?(laughs maniacally as the window rolls up, showing Dipper's horrified expression. The car drives off and Dipper is left staring after it.)"
Sock Opera,Narration,Cut to the outside of theTheatre Time Theater. Dipper flies out of a nearby building.
Sock Opera,Dipper,Bill? Bill! I gotta get my body back before he does something crazy with it.(He flies into the theater.)
Sock Opera,Bill,"Aw, nothing like the theater, huh toots?(He is sitting with an arm around Wendy and Soos.)Hey Soos, wanna hear the exact time and date of your death?"
Sock Opera,Soos,"Hehe, okay!"
Sock Opera,Mabel,Hey guys! You all made it!
Sock Opera,Stan,Are you kidding me? I would never miss... whatever this is.
Sock Opera,Bill,"By the by, Mabel, where'd you put my journal again?"
Sock Opera,Mabel,"I used it as a prop for the big wedding scene! I still need a reverend, though."
Sock Opera,Bill,"Hey, what if I play the reverend? I mean, someone's gotta hold that journal, right?"
Sock Opera,Mabel,Great! Let's go!(runs off with Bill)
Sock Opera,Dipper,"Oh, no! Wait! Mabel!(He flies after and follows them backstage.)"
Sock Opera,Narration,Mabel peeks through the curtain. Gabe is sitting down with his puppets. The lights flicker.
Sock Opera,Grenda,"The show is about to begin! Please turn off your cell phones! Unless you're texting me, cuties!"
Sock Opera,Narration,"The house lights dim, and, to applause, the curtain opens. The set is a glittery and colorful Mystery Shack. A light illuminates Candy, standing at a keyboard, dressed as David Bowie."
Sock Opera,Candy,"Gather round, and let us sing, about a girl who had almost everything."
Sock Opera,Narration,She is rolled off the stage. A Dipper puppet pops out of a window and sings.
Sock Opera,Mabel,"(As Puppet Dipper:)Look, it's Mabel!(Puppet Mabel pops up.)(As Puppet Mabel:)Hi there!(As Puppet Soos:)Did you say stable?(As Puppet Stan:)No, he said Mabel!(As Puppet Mabel:)Okay, hit it, boys!!(The puppets form a line and sing.)(Singing as puppets:)Who's that girlwith the pig and the braces? She puts smiles on everyone's faces!(Gabe smiles and nods along)When she's around, you're never bored!(As Puppet mayor:)I am a mayor, and here's an award!(Singing as Puppet Mabel:)Thank you, mayor, it's true I'm great. But the perfect girl needs the perfect maaaate...(Gabe puppet is revealed.)(As Puppet Gabe:)Hey, what's up, I'm Gabe.(As Puppet Mabel:)Bwaaaa?(Heart glasses are layered over eyes)"
Sock Opera,Bill,"(Grenda is standing backstage. Bill, dressed in vicarage clothing, walks up behind her)So, hey, Grendo! Where's that book prop I'm using for the wedding scene?"
Sock Opera,Grenda,It's up in the wedding cake. But that doesn't come down until Act 3. So hold your horses!
Sock Opera,Bill,"(backing away)Oh, I'll hold my horses. I'll hold them...(venomously)you monster."
Sock Opera,Dipper,(flies up to Grenda)Hey! Listen! Have you seen Mabel?(Grenda doesn't see him.)What did Bill say? I can't be heard without a vessel? Where would I find a-(notices a pile of puppets and grins)
Sock Opera,Mabel,"(As Puppet Mabel:)Finally, we're together.(As Puppet Gabe:)I'm sorry, Mabel, but I have to go fight. In the war!(A helmet lands on his head. He yells and runs off into a ravaged, flaming background. With a roar, a gigantic many-tentacled monster appears. Lasers flash, fog rolls in, and gunshots are heard.)(As Puppet Mabel:)I'll wait for you, Gabe! I'll wait for you!!(Happy music plays and the curtain closes. The audience cheers.)"
Sock Opera,Grenda,Our intermission has begun! Mill about!(The audience does.)
Sock Opera,Mabel,"(In her dressing room)Whew, okay, you can do this, Mabel. Only 36 more musical numbers.(She drinks from the water fountain. The Dipper puppet slowly rises, floating beside Mabel.)"
Sock Opera,Dipper,"Pst, Mabel!(She notices the Dipper puppet talking and does a spit take.)"
Sock Opera,Mabel,Aah! It's come to life! The puppet books didn't warn me about this!(She throws a fork at it.)
Sock Opera,Dipper,"Mabel, it's me, Dipper! You need to help me!"
Sock Opera,Mabel,"Wait, what, Dipper?! But you're... so much more of a sock than usual!"
Sock Opera,Dipper,"Mabel, you have to listen. Bill tricked me! He stole my body and now he's after the journal! You have to find the journal before Bill destroys it. It's the only hope to get me back in my body!"
Sock Opera,Mabel,But my cue's coming up any minute!(There is a knock on the door and Gabe enters with flowers.)
Sock Opera,Gabe,"Hey, Mabel, do you have a moment?"
Sock Opera,Mabel,"GABE!(She grabs the puppet floating beside her and tucks it behind her back, laughing nervously. Dipper struggles to free his hand.)"
Sock Opera,Dipper,Ow! Mabel!
Sock Opera,Gabe,"Mabel, it's clear to me now that you really love puppets. I mean, you went whole hog. And if you stick the ending, well, maybe later you could join me for a biscotti?"
Sock Opera,Mabel,You drive a biscotti?(The lights flick on and off)
Sock Opera,Gabe,I'll be waiting.(He leaves.)
Sock Opera,Mabel,Did you hear that? He loves it! This play has to be flawless. Can't we wait until after the show?
Sock Opera,Dipper,Mabel! You want me to be a sock puppet forever?!(The puppet's arms flail)
Sock Opera,Mabel,"(laughs)I'm sorry, it- it looks funny when you're mad."
Sock Opera,Dipper,(grunting in frustration)
Sock Opera,Mabel,"Okay, okay, okay, just take over for me till I get back with the book. Little puppet face!"
Sock Opera,Narration,Cut to the stage. Dipper is providing the voices for the puppets.
Sock Opera,Dipper,(As Puppet Mabel:)Gabe! You're back from the war!(As Puppet Gabe:)Yes I am! Wanna kiss and sing at the same time?(As Puppet Mabel:)Okay!(He makes kissing sound effects as the puppets kiss.)(To himself:)Seriously?
Sock Opera,Narration,The audience applauds. Mabel climbs the catwalk and runs over to where the giant cake is hanging. The journal sits inside. Mabel climbs over the edge and reaches for the journal.
Sock Opera,Mabel,"Come on, come on!(Falls into the cake and it plummets down. Just before it hits the stage, it is pulled back up.)"
Sock Opera,Dipper,(As Mabel:)I hope this kiss never ends!
Sock Opera,Mabel,"(sighs)Come on, come on now, there must be a way to get Dipper's body back!"
Sock Opera,Bill,"Oho, but why would you want to do that?(Mabel looks up to see Bill pulling the cake up, with lights shining behind his grinning face.)"
Sock Opera,Mabel,(gasps) Bill Dipper! Bipper.
Sock Opera,Bill,"Shh! You wouldn't want to ruin the show... Whoops!(He briefly releases the cake, sending Mabel plummeting.)It's slipping! How's about you hand that book over?"
Sock Opera,Mabel,No way! This is Dipper's! I'd never give it away!
Sock Opera,Bill,"Hmm, you didn't seem to have a problem taking it for your own play, ditching him when he needed you. So come to your senses.(Hardens his look)Give me the book or your play is ruined.(Mabel sighs and begins to hand over the journal.)There it is. I mean, who would sacrifice everything they've worked for just for their dumb sibling?"
Sock Opera,Mabel,...Dipperwould.
Sock Opera,Bill,Huh?(Mabel pulls him into the cake and they fall to the stage.)
Sock Opera,Dipper,"(As Puppet Stan:)I'm giving you away. You are a woman now. Waddles, the rings!(Waddles squeals)Wait, what?(Dipper looks up to see the falling cake.)Oh no.(The cakes crashes to the floor. Mabel and Bill tumble out, grappling over the journal. Lasers and fog go off.)"
Sock Opera,Mabel,"Get out of my brother's body, you evil triangle!"
Sock Opera,Stan,(gets out camera)Whoa! Children fighting! I can sell this.
Sock Opera,Mabel,(Hits Bill in the face with the journal and runs away.)
Sock Opera,Bill,You can't stop me! I'm a being of pure energy with no weakness!(Lunges at Mabel.)
Sock Opera,Mabel,"True, but you're in Dipper's body. And I know all his weaknesses!"
Sock Opera,Bill,Whaddya mean his-(Mabel tickles him)
Sock Opera,Mabel,"Tickle, tickle!"
Sock Opera,Bill,(Laughs and falls on the floor.)Aah! Body spasms! What are these?
Sock Opera,Mabel,"A little note about the human body- You haven't slept for 24 hours!(She runs around the stage, Bill chasing her)Also, I got a full night's sleep and I'm on four mega-shots of Mabel Juice!"
Sock Opera,Bill,"(His face drooping)Ah! What is this feeling?(Wheezing)My body is burning! I can't move these stupid noodle legs! Curse you, useless flesh sticks! Body... shutting down... must...scratch... mosquito bites..."
Sock Opera,Narration,"Dipper and Mabel watch as Bill stumbles around, then he collapses. Bill is flung out of Dipper's body as the world turns colorless."
Sock Opera,Bill,"Whoa, whoa, whoa, whoa, whoa, hey!(Dipper flies back into his body and opens his eyes.)"
Sock Opera,Dipper,"Hey! Yes! I'm in my own body! And it's... just as underwhelming as I remember.(He stands and grips his back in pain.)Ooh, everything hurts."
Sock Opera,Bill,(cackling. The twins look over to see the Dipper puppet talking.)This isn't the last you'll hear of me! Big things are coming! You can't stop me!
Sock Opera,Mabel,"I'm sorry, Gabe."
Sock Opera,Narration,"She pushes the ""Big Finish"" button. Bill is revealed to be on a pile of pyrotechnics, which explodes, sending fireworks shooting into the audience and blowing up the box of puppets. In slow motion, the Grunkle Stan puppet arcs through the air, aflame, as Gabe, amid falling puppets, looks on in shock. ""Ave Maria"" plays mournfully."
Sock Opera,Narration,"The rest of the fireworks go off in a cacophonous boom, and Dipper gleefully stomps on the Dipper puppet. As the smoke clears from the smoldering set, the twins turn to the audience. Some scaffolding crashes to the floor behind them."
Sock Opera,Mabel,Don't worry. I've seen enough movies to know this is the part where the audience thinks it was all part of the show and loves it. Cue applause!
Sock Opera,Narration,"The audience stares at them and starts to boo. They get up and leave the theater, grumbling about how they almost died. Gabe stands, frowning."
Sock Opera,Mabel,Gabe! Stick around for the wrap party? We've got mini-quiches!
Sock Opera,Gabe,"Don't speak to me, Mabel. You've made a mockery of my art form. Let's go, my loves.(He walks away, kissing the puppets.)"
Sock Opera,Dipper,Did he just make out with his puppets?
Sock Opera,Mabel,I might've dodged a bullet there.
Sock Opera,Candy,"(running after him) 개이브 잠깐! 캔디는 아직도 널 사랑해! (Revised Romanization: ""Gaeibeu jamkkan! Kaendi neun ajikdo neol saranghae!"" Subtitled: ""Wait, Gabe! Candy still loves you!"")"
Sock Opera,Dipper,"Oof. Mabel, I'm sorry about all this. It's my fault your puppets got ruined."
Sock Opera,Mabel,"Well, one of them survived.(Pulls out the Mabel puppet.)And she has something to say to you.(as puppet)I'm sorry, Dipper. I spent all week obsessing over a dumb guy. But the dumb guy I should have cared about was you! Bap!(Nudges Dipper's face.)Mystery twins?"
Sock Opera,Dipper,Mystery twins.(They fist bump. Dipper gasps in pain.)Ow! What'd Bill do to my hand? Ahh!
Sock Opera,Mabel,"Nothing a little sleep can't fix.(They walk offstage.)Come on, bro bro, let's go home."
Sock Opera,Dipper,"Seriously, I need to go to the hospital."
Sock Opera,Narration,End credits. Real-life Dipper and Mabel puppets.
Sock Opera,Mabel Puppet,"Hey Dipper, what did one sock puppet say to the other sock puppet?"
Sock Opera,Dipper Puppet,"I don't know Mabel, what?"
Sock Opera,Mabel Puppet,You look like you could use a HAND!(She laughs. Dipper Puppet faces away annoyed. The curtain closes. Puppet Stan andOld Man McGucketare sitting in a theater booth)
Sock Opera,McGucket Puppet,That joke was really something!
Sock Opera,Stan Puppet,"Yeah, something terrible!(Laugh)"
Sock Opera,Narration,Mabel wakes up with a scream. She turns the Mabel puppet away from her bed and goes back to sleep.
Sock Opera,Code,"YM’KL ECN PPK WFOM UBR KQVXNLK, DCI SIK’U VDA JFTOTA AYQ BWL VVCT ""EBTGGB BHWKGZH"" HVV: TMEASZFA LOS YCDT PRWKTIYEKGL DBV XQDTYRDGVI. (WE’VE ALL HAD SOME FUN TONIGHT, BUT LET’S NOT FORGET WHO THE REAL ""PUPPET MASTERS"" ARE: REPTOIDS WHO HAVE INFILTRATED OUR GOVERNMENT decoded fromVigenere. The key is CIPHER)"
Soos and the Real Girl,Narration,Opens to a shot of the sign for theMystery Shack'sgift shop.
Soos and the Real Girl,Mabel Pines,"La, la, la, la, la!(She accidentally bumps into the screen door, getting her braces caught in it; screams)No! Braces! Braces caught in a screen door! Someone dictate my will, I'm giving it all toWaddles!"
Soos and the Real Girl,Soos Ramirez,"(Walks up holding a screwdriver)Say ""ah,"" girl-dude."
Soos and the Real Girl,Mabel,(Opens her mouth wide)Aaaah.(Soos pries her braces off of the screendoor)Soos! You saved me!
Soos and the Real Girl,Soos,"Heh, heh! Just doin' my job, hambone.(Tosses screwdriver into his toolbelt)I'll see you dudes tomorrow."
Soos and the Real Girl,Narration,Soos opens the door and leaves.
Soos and the Real Girl,Dipperand Mabel,"Bye, Soos!"
Soos and the Real Girl,Wendy Corduroy,"(Playing with a Chinese finger trap)Night, Soos."
Soos and the Real Girl,Stan Pines,"(Working on attraction called ""Thigh-Clops"")Night, Soos."
Soos and the Real Girl,Soos,"(Walking away from the shack, singing)Doo, doo, doo, doo, doo! Walkin' to mycar."
Soos and the Real Girl,Mabel,You ever wonder what Soos does when he's not here at the Mystery Shack?
Soos and the Real Girl,Dipper,No.
Soos and the Real Girl,Wendy,Not really.
Soos and the Real Girl,Stan,Not once ever.
Soos and the Real Girl,Narration,Cut to a shot of the exterior ofAbuelita's houseat night.
Soos and the Real Girl,Soos,"(Playing a video game entitled ""First Person Puncher"")Punch! Punch those leopards!(Hears timer go off)Oh, highlights are done!(Sets down his controller, leans over and begins taking foil out of his grandmother's hair)You're gonna make the other grandmas at the bingo hall so jealous!"
Soos and the Real Girl,Abuelita,"Just a minute, m'ijo, look at this.(hands letter to Soos)Your cousinReggieis having an engagement party next month."
Soos and the Real Girl,Soos,"(Looks at invitation)Wait, wait. Reggie is engaged? But he's like the poor man's Soos."
Soos and the Real Girl,Abuelita,"I do not want to pressure you, but you are a man now... in a way. It's time for you to start meeting girls. I would like to see you settled before I ascend to heaven and live with the angels."
Soos and the Real Girl,Soos,And with grandpa!
Soos and the Real Girl,Abuelita,"(Looking down)No, he is not there.(Looks back at Soos)Please find a girl to bring to Reggie's engagement, for Abuelita.(Gets up off the couch and walks away)"
Soos and the Real Girl,Soos,"Heh! No problem. I'm great at fixing stuff, playing video games, having a sort-of mustache.(Leans back in couch)I could totally get a date in a week. Totally. Piece of cake."
Soos and the Real Girl,Game voice,(Game over text appears on TV screen)You're dead!
Soos and the Real Girl,Soos,I'm dead.
Soos and the Real Girl,Narration,Cut totheme song.
Soos and the Real Girl,Narration,"A childis seen walking through the Mystery Shack gift shop, flipping a coin and licking a lollipop."
Soos and the Real Girl,Stan,(Jumps out from behind rack of postcards)Hello!
Soos and the Real Girl,Child,(Screams)
Soos and the Real Girl,Stan,"Please, don't let my horrible elderly face frighten you.(Reaches over to sheet and pulls it away to revealGoldie)Don't you wanna use that nickel to get a nugget from old Goldie?"
Soos and the Real Girl,Child,Uuuuhhh...
Soos and the Real Girl,Stan,Watch this!(Inserts nickel into slot in Goldie)
Soos and the Real Girl,Narration,"Goldie's arm moves up and his hat raises. The arm moves down, but both of his eyes fall out while grease and smoke come out and he starts to scream. Child runs away crying."
Soos and the Real Girl,Wendy,"Okay, seriously, Mr. Pines. It's time to throw that thing out. Its face reminds everyone of the inevitability of death."
Soos and the Real Girl,Stan,"What?! Sure, he's a little rusty around the edges, but old Goldie is a classic show-stopper, like me. Huh?(Hand slips on grease and lands in Goldie's mouth. Goldie holds onto his arm while he flails it around.)Aaaah! Kill it! KIIILLL IIIITTT!"
Soos and the Real Girl,Narration,Cut to Soos hanging up a shirt in the gift shop.
Soos and the Real Girl,Soos,"(Turns head and notices a woman checking out a snowglobe)Ah! A woman!(Dives into the middle of a shirt rack)Alright, Soos. You can do this. Just use your mouth to say words that makes romance happen.(Slowly rises up out of shirt rack; to woman:)Your face is good. I'm a Soos!"
Soos and the Real Girl,Woman,"(Screams, drops snowglobe and runs out of the gift shop, punching amanand knocking things over in he process)"
Soos and the Real Girl,Narration,"Soos slowly descends back into the shirt rack, disappointed."
Soos and the Real Girl,Dipper,Soos?(Pulls shirts back to reveal Soos)What was that all about?
Soos and the Real Girl,Soos,"I-I think I was flirting, but I'm not sure."
Soos and the Real Girl,Mabel,(Pops out of barrel of keychains)Did someone say flirting?!
Soos and the Real Girl,Soos,"Well, I sort of promised my grandma I'd get a date by the end of the week, but I've never actually been on a date before.(Grabs out-of-order sign off ofvending machine)You belong on me, out-of-order sign.(Sighs)"
Soos and the Real Girl,Mabel,"Finally, my prayers for a chance to match-make this summer have been answered!"
Soos and the Real Girl,Stan,"Soos, a little advice. You need to get rich. Or lie about being rich. Outside of that, I don't like your chances."
Soos and the Real Girl,Wendy,"(Scoffs)Don't listen to Stan, dude. You're a sweet guy with a steady job and apickup truck."
Soos and the Real Girl,Stan,Would you date him?
Soos and the Real Girl,Wendy,Oh! Would you... heh... look at that.(Raisesmagazineover face)
Soos and the Real Girl,Dipper,"Soos, you help us so much, it's time we help you, dude. We're gonna get you that date."
Soos and the Real Girl,Mabel,We're taking you where romance lives and fashion styles die.(Cut tomall)To the mall!
Soos and the Real Girl,Stan,(To Dipper and Mabel:)I'm gonna go find a replacement for old Goldie. Babysit Soos while I'm gone.
Soos and the Real Girl,Mabel,"(Scanning the mall)Alright, Soos. Are you ready to explode the charm bomb on these poor, unsuspecting ladies?"
Soos and the Real Girl,Soos,(Sweating)Uuh. But what if I embarrass myself again?
Soos and the Real Girl,Mabel,Eh. You can't be any worse at this than Dipper.
Soos and the Real Girl,Dipper,"Yeah! ...Wait, what?"
Soos and the Real Girl,Mabel,"(Blows whistle)And, flirt!"
Soos and the Real Girl,Narration,"Music beings playing. Cut to Mabel, Dipper and Soos hiding behind a tree in the mall. They are watching a woman."
Soos and the Real Girl,Mabel,(Points to her eyes)Eye contact!
Soos and the Real Girl,Soos,(Walks up to the woman)Hey there! I'm not scared of your eyes at all! I'm gonna(Uses his fingers to open his eyes wider)look at them!
Soos and the Real Girl,Narration,The woman runs away screaming.
Soos and the Real Girl,Soos,Eye contact!
Soos and the Real Girl,Narration,Cut to Mabel and Soos in a different area of the mall.
Soos and the Real Girl,Mabel,Conversation!
Soos and the Real Girl,Narration,Soos approaches a woman who is eating ham on a stick.
Soos and the Real Girl,Soos,"Huh. You know,I've actually been in a pig's body. Did you know pigs have a hard time walking backwards?"
Soos and the Real Girl,Narration,The woman backs away from Soos.
Soos and the Real Girl,Soos,"(Laughs)Not you, though! Not that I'm calling you a pig. Where are you goin'?"
Soos and the Real Girl,Narration,Cut to Mabel wearing sunglasses in a new area.
Soos and the Real Girl,Mabel,"(Lifting her sunglasses, revealing another pair underneath)Confidence."
Soos and the Real Girl,Narration,Cut to Soos andanother personoutside of an Edgy On Purpose store.
Soos and the Real Girl,Soos,"So, you're probably a girl, right? Wrong? No, I was right the first time. Wrong?"
Soos and the Real Girl,Narration,The music ends. Cut to Stan putting Goldie into a dumpster.
Soos and the Real Girl,Stan,"(Singing:)Tossing away garbage, in the garbage can. Phew!(Sees Goldie's face)Ah, don't look at me like that. This is how it's gotta be."
Soos and the Real Girl,Narration,Goldie leaks oil from its eye.
Soos and the Real Girl,Stan,Ugh!(Closes dumpster)
Soos and the Real Girl,Narration,"Some children walk past, laughing."
Soos and the Real Girl,Stan,What in the--?(He follows the children into abuilding)
Soos and the Real Girl,Narration,Scare chord as a cap-wearing beaver head mounted on wall is shown. Scare chord as a child eating pizza while playingFight Fightersis shown. Scare chord as a machine with a sunglasses-wearing pizza dispensing tickets is shown.
Soos and the Real Girl,Stan,What is this living nightmare? And why do kids love it so much?
Soos and the Real Girl,Narration,"While Stan is talking, the camera pans over to a crowd of kids in front of a stage. On the stage are a band of animatronic animals. An animatronicbadgerwalks forward."
Soos and the Real Girl,Will E. Badger,(Strums guitar)Who wants to get baaadgered?!
Soos and the Real Girl,Narration,The children cheer. Amanis now standing next to Stan.
Soos and the Real Girl,Gary,"Oh yeah, that's Will E. Badger. He opens forHoo-Ha and the Jamboree."
Soos and the Real Girl,Will E. Badger,"(Dancing)Ooh, ah! Ooh, ah ah!"
Soos and the Real Girl,Nicolas,"Will E. Badger! I love you, Will E.!"
Soos and the Real Girl,Will E. Badger,(Holding out a cap with money in it)Now give me your mon-aaaaay!
Soos and the Real Girl,Narration,The children put money into the cap.
Soos and the Real Girl,Mariah,"Take my money, take it all!"
Soos and the Real Girl,Stan,"Hoooaah!(To Gary:)Sir, I would like to buy that badger."
Soos and the Real Girl,Gary,"(Laughs)You're in over your head, gramps. Animatronics is a young man's game.(Tweaks his earring)You couldn't handle the hardcore life of a pizza-robot manager. Huh! Haha, flinched!"
Soos and the Real Girl,Narration,A child is heard vomiting off-screen.
Soos and the Real Girl,Gary,"Hey, you, barfin' in the ball pit!(Walking toward the vomiting child)Gary's on the case."
Soos and the Real Girl,Stan,I'm gonna get that badger.
Soos and the Real Girl,Narration,"Cut to Dipper, Soos and Mabel outside of avideo game storein the mall."
Soos and the Real Girl,Mabel,"(Pulls something out of a toy capsule machine)Don't worry, Soos. You'll find the right girl. You just need to stick(Pulls a sticky hand toy out of her capsule)with it!(Sticks the hand to Soos's face)Haha!"
Soos and the Real Girl,Soos,(Sighs)Could this day get any worse?(Turns head and sees Reggie andhis fiancéewalking by)Oh no! Cousin Reggie!
Soos and the Real Girl,Reggie,"Feel it, it's muscle."
Soos and the Real Girl,Narration,Reggie's fiancée feels his arm and giggles.
Soos and the Real Girl,Soos,"He can't see me like this! I gotta hide!(Runs into the video game store and sits down in front of some shelves of games)This is it, Soos. A lifetime of loneliness.(Pulls out two games)You're the only ones who could love me.(Reading the game titles:)""Fighty Hogg"", ""Dr. Punch Head MD"".(Notices athird gamein a box and picks it up)Huh. Never seen that one before.(Reading the game box:)""Virtually improve your dating skills. Nine out of ten basement dwellers recommend!!"". This is perfect!"
Soos and the Real Girl,Narration,Dipper and Mabel walk in.
Soos and the Real Girl,Dipper,"Well, I guess you are better at games than at flirting."
Soos and the Real Girl,Mabel,"Anything to get you out there, Soos."
Soos and the Real Girl,Store clerk,"I'm not sure you wanna buy that game, sir. This is the third time someone's brought it back, and there's a note on it that says ""Destroy at all costs!!""."
Soos and the Real Girl,Soos,"(Talking to a cardboard cutout of a woman on a game advertisement:)So, hey there. What's your deal? Like to--?(The cutout falls over)Oh, she's dead!"
Soos and the Real Girl,Mabel,(To clerk:)We'll take our chances.
Soos and the Real Girl,Narration,"Cut to Soos's house. Soos walk into his room and places his new game into his computer's CD tray. A ""Year 2000 Electronics"" logo appears on the monitor."
Soos and the Real Girl,Soos,"Man, I can't wait for the year 2000."
Soos and the Real Girl,Narration,"The monitor shows the main menu for ""Romance Academy 7."" the options are ""Start,"" ""Quit,"" and ""Shizenhakka"" (romanized Japanese meaning ""spontaneous combustion"")."
Soos and the Real Girl,Soos,"Ehh, start!(Reading the game's introduction text:)""When the cherry petals of magic romance academy are in bloom... anthyding can hadplen."" That is so true."
Soos and the Real Girl,Narration,The game screen changes to one with a classroom background and some stats on the left. Apink-haired girlappears.
Soos and the Real Girl,.GIFfany,"Oh, hi there! My name is .GIFfany. I'm a schoolgirl at School University. Will you help me carry my books?"
Soos and the Real Girl,Narration,"The game gives the options ""Yes of course!"", ""I am impatient! Date me now!"" and ""Hey look a squid!"""
Soos and the Real Girl,Soos,"I'm really feeling number two, here.(Clicks it)Click!"
Soos and the Real Girl,Narration,The game plays a buzzer sound and the option turns red.
Soos and the Real Girl,Soos,Ah! I messed up.
Soos and the Real Girl,.GIFfany,That's okay. Try again!
Soos and the Real Girl,Narration,"Soos clicks the first option. The game awards him 100 ""Love Points"" as coins and a cat falls in front of the screen."
Soos and the Real Girl,Soos,"Wow, I'm learning! And games are making it fun."
Soos and the Real Girl,.GIFfany,What would you like to talk about?
Soos and the Real Girl,Narration,"The options offered are ""Your interests,"" ""Samurais"" and ""Squids."""
Soos and the Real Girl,Soos,I'd rather just click your face.(Clicks her face)
Soos and the Real Girl,.GIFfany,Ha ha. You are so funny.
Soos and the Real Girl,Soos,"Man, this game is amazing! I don't know why anyone abandoned it."
Soos and the Real Girl,.GIFfany,"And I'm sure you'll never abandon me, new boyfriend."
Soos and the Real Girl,Soos,"Boyfriend? Oh my, .GIFfany. It's almost like you're actually alive."
Soos and the Real Girl,.GIFfany,Yes. Almost.(Laughs throughout the rest of the scene)
Soos and the Real Girl,Soos,"(Laughs)Oh, man. You have such a nice laugh."
Soos and the Real Girl,Narration,Pan to show that Soos's computer isn't plugged in.
Soos and the Real Girl,Narration,Cut to the Mystery Shack gift shop.
Soos and the Real Girl,Stan,"You don't understand, Wendy! This animatronic badger sings, it dances. It's the perfect money taking attraction. But he won't sell it to me!"
Soos and the Real Girl,Wendy,This is literally too dumb for me to care about.
Soos and the Real Girl,Narration,Dipper and Mabel walk in.
Soos and the Real Girl,Dipper,"Hey, have you guys seen Soos? We're supposed to help him with match-making today."
Soos and the Real Girl,Mabel,"Yeah! I wore my motivational sweater and everything thing!(Sweater reads ""U can do it Soos"". Points to the second o in Soos, which is misplaced)I messed up that part."
Soos and the Real Girl,Stan,He didn't come in today. It's the first time he's missed work ever!
Soos and the Real Girl,Narration,The twins look at each other.
Soos and the Real Girl,Narration,Cut to Soos's house. Mabel and Dipper enter Soos' room. Soos is still at his computer.
Soos and the Real Girl,Soos,(Laughs)So that's basically my entire life story. Now you tell me a thing about you!
Soos and the Real Girl,.GIFfany,Every time you compliment me I get another highlight in my eyes!
Soos and the Real Girl,Soos,"Uh, you're pretty!"
Soos and the Real Girl,Narration,.GIFfany's eyes sparkle.
Soos and the Real Girl,Soos,And pixel-y!
Soos and the Real Girl,Narration,.GIFfany's eyes sparkle more.
Soos and the Real Girl,Soos,And so agreeable!
